timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 21:34:21,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,0.2781
2026-05-07 21:35:39,qwen2.5,ioi,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,1.1977
2026-05-07 21:36:58,qwen2.5,ioi,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,1.5708
2026-05-07 21:38:14,qwen2.5,ioi,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,0.2777
2026-05-07 21:39:32,qwen2.5,ioi,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.5236
2026-05-07 21:40:49,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,0.2816
2026-05-07 21:42:06,qwen2.5,ioi,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,1.2158
2026-05-07 21:43:24,qwen2.5,ioi,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,1.5311
2026-05-07 21:44:40,qwen2.5,ioi,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,0.2704
2026-05-07 21:45:59,qwen2.5,ioi,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.5367
2026-05-07 21:47:15,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.1,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.1,0.2731
2026-05-07 21:48:33,qwen2.5,ioi,0.2,1.0,1.0,1.0,1.0,eap_scaling_q0.2_k1.0_v1.0_g1.0_u1.0,1.3351
2026-05-07 21:49:51,qwen2.5,ioi,1.0,0.2,1.0,1.0,1.0,eap_scaling_q1.0_k0.2_v1.0_g1.0_u1.0,1.5680
2026-05-07 21:51:07,qwen2.5,ioi,1.0,1.0,0.2,1.0,1.0,eap_scaling_q1.0_k1.0_v0.2_g1.0_u1.0,0.2736
2026-05-07 21:52:25,qwen2.5,ioi,1.0,1.0,1.0,0.2,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.2_u1.0,1.6251
2026-05-07 21:53:40,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.2,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.2,0.2818
2026-05-07 21:54:58,qwen2.5,ioi,0.5,1.0,1.0,1.0,1.0,eap_scaling_q0.5_k1.0_v1.0_g1.0_u1.0,1.4296
2026-05-07 21:56:16,qwen2.5,ioi,1.0,0.5,1.0,1.0,1.0,eap_scaling_q1.0_k0.5_v1.0_g1.0_u1.0,1.5238
2026-05-07 21:57:31,qwen2.5,ioi,1.0,1.0,0.5,1.0,1.0,eap_scaling_q1.0_k1.0_v0.5_g1.0_u1.0,0.2694
2026-05-07 21:58:49,qwen2.5,ioi,1.0,1.0,1.0,0.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.5_u1.0,1.5291
2026-05-07 22:00:05,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.5,0.2845
2026-05-07 22:01:20,qwen2.5,ioi,1.0,1.0,1.0,1.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.0,0.2661
