timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 09:47:54,qwen2.5,ioi,1.0,1.0,1.0,0.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.0_u1.0,1.6427
2026-05-07 09:49:12,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.0,1.2175
2026-05-07 09:50:29,qwen2.5,ioi,0.05,1.0,1.0,1.0,1.0,eap_frnorm_q0.05_k1.0_v1.0_g1.0_u1.0,1.2182
2026-05-07 09:51:47,qwen2.5,ioi,1.0,0.05,1.0,1.0,1.0,eap_frnorm_q1.0_k0.05_v1.0_g1.0_u1.0,1.6935
2026-05-07 09:53:04,qwen2.5,ioi,1.0,1.0,0.05,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.05_g1.0_u1.0,0.3381
2026-05-07 09:54:23,qwen2.5,ioi,1.0,1.0,1.0,0.05,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.05_u1.0,1.6274
2026-05-07 09:55:41,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.05,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.05,1.2352
2026-05-07 09:56:58,qwen2.5,ioi,0.1,1.0,1.0,1.0,1.0,eap_frnorm_q0.1_k1.0_v1.0_g1.0_u1.0,1.3507
2026-05-07 09:58:15,qwen2.5,ioi,1.0,0.1,1.0,1.0,1.0,eap_frnorm_q1.0_k0.1_v1.0_g1.0_u1.0,1.6461
2026-05-07 09:59:31,qwen2.5,ioi,1.0,1.0,0.1,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.1_g1.0_u1.0,0.3160
2026-05-07 10:00:48,qwen2.5,ioi,1.0,1.0,1.0,0.1,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.1_u1.0,1.6307
2026-05-07 10:02:06,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.1,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.1,1.2797
2026-05-07 10:03:24,qwen2.5,ioi,0.2,1.0,1.0,1.0,1.0,eap_frnorm_q0.2_k1.0_v1.0_g1.0_u1.0,1.3145
2026-05-07 10:04:41,qwen2.5,ioi,1.0,0.2,1.0,1.0,1.0,eap_frnorm_q1.0_k0.2_v1.0_g1.0_u1.0,1.6835
2026-05-07 10:05:57,qwen2.5,ioi,1.0,1.0,0.2,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.2_g1.0_u1.0,0.3094
2026-05-07 10:07:15,qwen2.5,ioi,1.0,1.0,1.0,0.2,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.2_u1.0,1.6127
2026-05-07 10:08:33,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.2,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.2,1.5676
2026-05-07 10:09:50,qwen2.5,ioi,0.5,1.0,1.0,1.0,1.0,eap_frnorm_q0.5_k1.0_v1.0_g1.0_u1.0,1.4659
